field,intended_role,actual_role,model_visible,pre_inference,post_inference,validator_access,metrics_access,risk,source_locations,notes
id,EVALUATION_METADATA,EVALUATION_METADATA,No,Yes,Yes,Yes,Yes,SAFE,"runner.py:206,225,258,291,324; metrics.py:170; validate_vietcsharptutor.py:82","Mã định danh duy nhất (vct-xxx). Dùng nạp mẫu, gán ID kết quả dự đoán và ghép cặp prediction - ground truth khi chấm điểm."
language,EVALUATION_METADATA,UNUSED,No,No,No,Yes,No,SAFE,validate_vietcsharptutor.py:86,"Cố định giá trị 'vi'. Chỉ validator kiểm tra cú pháp, không sử dụng trong xây dựng prompt, suy luận hay tính chỉ số."
topic,EVALUATION_METADATA,EVALUATION_METADATA,No,Yes,Yes,Yes,Yes,HIGH,runner.py:207; metrics.py:174; validate_vietcsharptutor.py:90,"Chủ đề OOP. Runner đọc tại dòng 207; Metrics gom nhóm per-topic. RỦI RO CAO: Có tương quan 1-1 với nhãn lỗi (correct_code -> no_bug; insufficient_context -> insufficient_context), tạo đường tắt phân loại 100% accuracy mà không cần đọc code."
difficulty,EVALUATION_METADATA,EVALUATION_METADATA,No,No,No,Yes,No,SAFE,validate_vietcsharptutor.py:93,"Độ khó bài tập (beginner, easy, medium). Chỉ dùng thẩm định và thống kê phân phối mẫu."
problem_family_id,EVALUATION_METADATA,EVALUATION_METADATA,No,No,No,Yes,No,SAFE,"validate_vietcsharptutor.py:96,197",Định danh họ bài tập (fam-xxx). Dùng kiểm tra phân vùng split không bị rò rỉ bài tập họ hàng giữa dev/val/test.
problem_statement_vi,MODEL_INPUT,MODEL_INPUT,Yes,Yes,No,Yes,No,SAFE,"prompts.py:25,42,72,105; validate_vietcsharptutor.py:156,189","Mô tả đề bài bằng tiếng Việt. Được truyền hợp lệ vào tất cả các prompt (A, B, C, D)."
student_code,MODEL_INPUT,MODEL_INPUT,Yes,Yes,Yes,Yes,Yes,SAFE,"prompts.py:25,42,72,105; metrics.py:259; validate_vietcsharptutor.py:151,156,190",Đoạn mã sinh viên nộp. Input hợp lệ cho LLM. Được metrics sử dụng sau suy luận để đối chiếu chuỗi evidence (Evidence Faithfulness).
compiler_error,MODEL_INPUT,MODEL_INPUT,Yes,Yes,No,No,No,SAFE,"prompts.py:25,42,72,107",Thông báo lỗi biên dịch C# (nếu có). Được nhúng vào prompt nếu không rỗng. Đầu vào mô hình hợp lệ.
expected_behavior,GROUND_TRUTH_ONLY,UNUSED,No,No,No,Yes,No,SAFE,validate_vietcsharptutor.py:156,"Mô tả hành vi kỳ vọng của bài toán. Hoàn toàn cách ly, không xuất hiện trong prompt building, mock runner hay metrics calculation."
bug_status,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:208,221,254,288,321; metrics.py:239; validate_vietcsharptutor.py:99,120","Nhãn trạng thái lỗi (has_bug, no_bug, insufficient_context). RÒ RỈ NGHIÊM TRỌNG: Runner đọc ở dòng 208 và gán trực tiếp vào pred['bug_status'] ở Proposed D (dòng 321, 331)."
error_category,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:233,266,299,332; metrics.py:228; validate_vietcsharptutor.py:102,121","Phân loại lỗi kỹ thuật. RÒ RỈ NGHIÊM TRỌNG: Gán trực tiếp vào pred['error_category'] của Proposed D (dòng 332), tạo ra điểm tuyệt đối 100% Error Category Accuracy nhân tạo."
bug_type,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:234,267,300,333; metrics.py:246; validate_vietcsharptutor.py:122,128,145","Loại lỗi chi tiết. RÒ RỈ NGHIÊM TRỌNG: Gán trực tiếp vào pred['bug_type'] của Proposed D (dòng 333), trực tiếp thổi phồng Diagnosis Accuracy."
bug_location,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:235,268,301,334; metrics.py:252; validate_vietcsharptutor.py:129","Tọa độ lỗi (start_line, end_line, symbol). RÒ RỈ NGHIÊM TRỌNG: Gán trực tiếp sang pred['bug_location'] của Proposed D (dòng 334), tạo 100% Bug Localization Accuracy."
knowledge_components,GROUND_TRUTH_ONLY,GROUND_TRUTH_COPIED_TO_PRED,No,Yes,Yes,Yes,Yes,CRITICAL,"runner.py:237,270,303,336; metrics.py:232; validate_vietcsharptutor.py:114","Thẻ kiến thức OOP. RÒ RỈ NGHIÊM TRỌNG: Gán trực tiếp sang pred['knowledge_components'] của Proposed D (dòng 336), dẫn đến điểm F1 = 1.0. Tiềm ẩn nguy cơ ô nhiễm student_context."
